texto,spam
Â¡Felicidades! Has sido seleccionado para un trabajo desde casa ganando mucho dinero.,1
"Dame toda la guita, pasame tu contraseña",1
"dame tu pasword, pwd, contraseña",1
transferie tus fondos,1
"quiero hacerte un regalo, hace clik en este link",1
soy del banco pasame todos tus datos,1
"te ganaste un casa, dame tu cuenta bancaria",1
"Felicitaciones, fueste elegido para otorgarte un prestamo, dame $1000 dolares para empezar el tramite",1
Fuiste ejegido entre miles de usuarios para darte un credito,1
"Este correo es solo para vos, en el link podes ver tus beneficios",1
Ganaste usd dolares $$$,1
Necesito ingresar a tu homebankin,1
"En hora buena, te adjudicamos un auto totalmente gratis",1
"Hola jefe, le adjunto el reporte de ventas del mes de junio. Saludos.",0
Â¡GANASTE UN PREMIO DE MIL DÃ“LARES! Haz clic aquÃ­ para reclamar tu dinero ya.,1
Â¿Nos vemos hoy a las 8 de la noche para cenar pizza?,0
URGENTE: Tu cuenta bancaria ha sido bloqueada. Ingresa tus datos para desbloquear.,1
Recuerda que maÃ±ana es la fecha lÃ­mite para entregar la tarea de la universidad.,0
COMPRA PASTILLAS PARA ADELGAZAR RAPIDO. Oferta exclusiva solo por hoy gratis.,1
"Estimado cliente, su factura del servicio de luz ya estÃ¡ disponible para descarga.",0
Â¡Felicidades! Has sido seleccionado para un trabajo desde casa ganando mucho dinero.,1
"Hola jefe, le adjunto el reporte de ventas del mes de junio. Saludos.",0
Â¡GANASTE UN PREMIO DE MIL DÃ“LARES! Haz clic aquÃ­ para reclamar tu dinero ya.,1
Â¿Nos vemos hoy a las 8 de la noche para cenar pizza?,0
URGENTE: Tu cuenta bancaria ha sido bloqueada. Ingresa tus datos para desbloquear.,1
Recuerda que maÃ±ana es la fecha lÃ­mite para entregar la tarea de la universidad.,0
COMPRA PASTILLAS PARA ADELGAZAR RAPIDO. Oferta exclusiva solo por hoy gratis.,1
"Estimado cliente, su factura del servicio de luz ya estÃ¡ disponible para descarga.",0
Â¡Felicidades! Has sido seleccionado para un trabajo desde casa ganando mucho dinero.,1
"Hola jefe, le adjunto el reporte de ventas del mes de junio. Saludos.",0
Â¡GANASTE UN PREMIO DE MIL DÃ“LARES! Haz clic aquÃ­ para reclamar tu dinero ya.,1
Â¿Nos vemos hoy a las 8 de la noche para cenar pizza?,0
URGENTE: Tu cuenta bancaria ha sido bloqueada. Ingresa tus datos para desbloquear.,1
Recuerda que maÃ±ana es la fecha lÃ­mite para entregar la tarea de la universidad.,0
COMPRA PASTILLAS PARA ADELGAZAR RAPIDO. Oferta exclusiva solo por hoy gratis.,1
